PID: 2897 | Proto: TCP | Src: 142.250.75.36:443 → Dst: 10.0.2.15:54384
PID: 2897 | Proto: UDP | Src: 142.250.75.130:443 → Dst: 10.0.2.15:51726
PID: 2897 | Proto: UDP | Src: 142.250.75.33:443 → Dst: 10.0.2.15:42544
PID: 2897 | Proto: TCP | Src: 142.250.75.130:443 → Dst: 10.0.2.15:34816
PID: 2897 | Proto: TCP | Src: 142.250.75.33:443 → Dst: 10.0.2.15:52560
PID: 2897 | Proto: TCP | Src: 34.149.100.209:443 → Dst: 10.0.2.15:36248
PID: 2897 | Proto: UDP | Src: 142.250.75.35:443 → Dst: 10.0.2.15:55029
PID: 2897 | Proto: TCP | Src: 142.250.75.35:443 → Dst: 10.0.2.15:32934
PID: 2897 | Proto: UDP | Src: 142.250.193.227:443 → Dst: 10.0.2.15:44492
PID: 2897 | Proto: TCP | Src: 142.250.193.227:443 → Dst: 10.0.2.15:37738
PID: 2897 | Proto: UDP | Src: 142.250.75.106:443 → Dst: 10.0.2.15:36635
PID: 2897 | Proto: TCP | Src: 142.250.193.227:443 → Dst: 10.0.2.15:37754
PID: 2897 | Proto: UDP | Src: 142.250.75.78:443 → Dst: 10.0.2.15:40232
PID: 2897 | Proto: UDP | Src: 142.250.75.78:443 → Dst: 10.0.2.15:51746
PID: 2897 | Proto: TCP | Src: 142.250.75.78:443 → Dst: 10.0.2.15:45710
PID: 2897 | Proto: TCP | Src: 142.250.75.174:443 → Dst: 10.0.2.15:34012
PID: 2897 | Proto: UDP | Src: 142.250.75.174:443 → Dst: 10.0.2.15:43411
PID: 2897 | Proto: TCP | Src: 142.251.5.84:443 → Dst: 10.0.2.15:60744
PID: 2897 | Proto: UDP | Src: 142.251.5.84:443 → Dst: 10.0.2.15:39556
